const,no_of_adults,no_of_weekend_nights,type_of_meal_plan,required_car_parking_space,lead_time,arrival_month,repeated_guest,avg_price_per_room,no_of_special_requests,total_guests,booking_duration,previous_cancel_rate,booking_day,holiday,long_weekend,arrival_day,tourism_season,room_type_reserved_Room_Type 2,room_type_reserved_Room_Type 3,room_type_reserved_Room_Type 4,room_type_reserved_Room_Type 5,room_type_reserved_Room_Type 6,room_type_reserved_Room_Type 7,market_segment_type_Complementary,market_segment_type_Corporate,market_segment_type_Offline,market_segment_type_Online,target
1.0,2,1,1,0,35,2,0,61.16,0,2,4,0.0,6,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0
1.0,2,1,1,0,114,6,0,75.0,0,2,3,0.0,4,0,0,6,4,0,0,0,0,0,0,0,0,1,0,1
1.0,2,0,1,0,270,4,0,80.0,0,2,4,0.0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0
1.0,2,0,1,0,86,9,0,105.0,0,2,2,0.0,4,0,0,6,3,0,0,0,0,0,0,0,0,1,0,0
1.0,2,2,2,0,133,11,0,117.3,2,2,4,0.0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,1,0
1.0,2,0,1,0,43,9,0,98.1,1,2,1,0.0,3,1,0,4,3,0,0,0,0,0,0,0,0,0,1,0
1.0,2,1,1,0,91,4,0,80.0,0,2,3,0.0,2,0,0,2,2,0,0,0,0,0,0,0,0,1,0,1
1.0,2,0,1,0,30,10,0,0.0,0,2,0,0.0,4,0,0,6,3,0,0,0,0,0,0,0,0,0,1,0
1.0,1,0,1,0,16,3,0,6.0,0,1,2,0.0,1,0,0,3,1,0,0,1,0,0,0,1,0,0,0,0
1.0,2,0,0,0,156,8,0,103.5,0,2,1,0.0,3,0,0,5,4,0,0,0,0,0,0,0,0,0,1,1
1.0,1,1,1,0,3,5,1,65.0,0,1,3,0.08108108,6,1,0,2,2,0,0,0,0,0,0,0,1,0,0,0
1.0,1,0,1,1,9,10,1,67.0,1,1,2,0.0,3,0,0,5,3,0,0,0,0,0,0,0,1,0,0,0
1.0,1,0,1,0,181,10,0,120.0,0,1,2,0.0,4,0,0,3,3,0,0,0,0,0,0,0,0,1,0,1
1.0,2,2,0,0,212,10,0,92.65,2,2,7,0.0,5,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0
1.0,2,1,1,0,56,11,0,88.23,0,2,4,0.0,5,0,0,5,3,0,0,0,0,0,0,0,0,0,1,0
1.0,2,1,1,0,189,10,0,109.8,0,2,3,0.0,6,0,0,6,3,0,0,1,0,0,0,0,0,0,1,1
1.0,2,1,1,0,23,2,0,91.0,1,2,1,0.0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,1
1.0,1,0,1,0,14,11,0,65.0,0,1,1,0.0,4,0,0,4,3,0,0,0,0,0,0,0,1,0,0,0
1.0,1,1,1,0,118,6,0,110.0,2,1,6,0.0,3,1,0,2,4,0,0,0,0,0,0,0,0,1,0,0
1.0,1,0,1,0,32,11,0,73.0,0,1,2,0.0,3,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0
1.0,2,1,1,0,305,11,0,89.0,0,2,3,0.0,2,0,0,6,3,0,0,0,0,0,0,0,0,1,0,1
1.0,2,1,0,0,50,2,0,76.5,0,2,1,0.0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,1,1
1.0,3,2,1,0,45,3,0,124.1,2,3,4,0.0,4,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0
1.0,2,1,1,0,29,3,0,89.93,0,2,3,0.0,5,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0
1.0,2,1,1,0,20,1,0,48.33,0,2,6,0.0,4,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0
1.0,1,2,1,0,163,6,0,100.0,0,1,4,0.0,6,0,1,1,4,0,0,0,0,0,0,0,0,1,0,1
1.0,2,1,1,0,66,11,0,179.1,2,2,4,0.0,6,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0
1.0,1,2,1,0,1,2,0,60.0,0,1,3,0.0,1,0,1,2,1,0,0,0,0,0,0,0,0,1,0,1
1.0,2,0,1,0,98,5,0,126.9,0,2,1,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1
1.0,2,1,1,0,73,4,0,91.36,0,2,3,0.0,3,1,0,6,2,0,0,0,0,0,0,0,0,0,1,0
1.0,2,0,2,0,296,9,0,117.0,1,2,4,0.0,2,1,0,4,3,0,0,0,0,0,0,0,0,0,1,1
1.0,2,0,1,0,140,12,0,70.0,0,2,5,0.0,4,1,0,4,1,0,0,0,0,0,0,0,0,1,0,0
